song_name,name,song_id,popularity
Boom Boom Pow,Black Eyed Peas,3oDFtOhcN08qeDPAK6MEQG,69
Waiting On the World to Change,John Mayer,5xP3GDhXolpbFplyOOmgQI,0
Send Me on My Way,Rusted Root,6hs3SDnbO3f6VQuPO4KBEb,67
Halo,Beyoncé,4JehYebiI9JE8sR8MisGVb,74
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,2y5aJvzXhHPA94U5GFAcXe,71
I Don’t Wanna Live Forever (Fifty Shades Darker),Taylor Swift,2y5aJvzXhHPA94U5GFAcXe,71
The A Team,Ed Sheeran,1XpYodsD36XN7ygcdF7mJJ,65
Classic,MKTO,6FE2iI43OZnszFLuLtvvmg,83
We Are Young (feat. Janelle Monáe),fun.,7a86XRg84qjasly9f6bPSD,74
We Are Young (feat. Janelle Monáe),Janelle Monáe,7a86XRg84qjasly9f6bPSD,74
Glad You Came,The Wanted,3AGOgQzp0YcPH41u9p7dOp,60
Titanium (feat. Sia),David Guetta,77TT8Xvx637TpzV8kKGkUw,58
Titanium (feat. Sia),Sia,77TT8Xvx637TpzV8kKGkUw,58
Live Your Life - Radio Edit,Headhunterz,1Pofof4ZYVI6GDM0IFGvBk,0
Live Your Life - Radio Edit,Crystal Lake,1Pofof4ZYVI6GDM0IFGvBk,0
rockstar,Post Malone,29VZKgZvAjFRxxBnctjqOn,0
rockstar,21 Savage,29VZKgZvAjFRxxBnctjqOn,0
Nothin' on You (feat. Bruno Mars),B.o.B,59dLtGBS26x7kc0rHbaPrq,77
Nothin' on You (feat. Bruno Mars),Bruno Mars,59dLtGBS26x7kc0rHbaPrq,77
Stay With Me,Sam Smith,7IHOIqZUUInxjVkko181PB,0
Beauty And A Beat,Justin Bieber,190jyVPHYjAqEaOGmMzdyk,77
Beauty And A Beat,Nicki Minaj,190jyVPHYjAqEaOGmMzdyk,77
Feel This Moment (feat. Christina Aguilera),Pitbull,0Hf4aIJpsN4Os2f0y0VqWl,80
Feel This Moment (feat. Christina Aguilera),Christina Aguilera,0Hf4aIJpsN4Os2f0y0VqWl,80
Just Give Me a Reason (feat. Nate Ruess),P!nk,4VC5nFbYO4avKksJ9jN4pY,0
Just Give Me a Reason (feat. Nate Ruess),Nate Ruess,4VC5nFbYO4avKksJ9jN4pY,0
Empire State of Mind (Part II) Broken Down,Alicia Keys,5sra5UY6sD658OabHL3QtI,71
A Thousand Miles,Vanessa Carlton,4w1lzcaoZ1IC2K5TwjalRP,78
Drift Away,Dobie Gray,3DEUviTtgRz6r3MdrUx0OL,0
Summer Of '69,Bryan Adams,0GONea6G2XdnHWjNZd6zt3,83
Jessie's Girl,Rick Springfield,0TF3F5Lw5apoD1zvR8LikO,57
Take It All Back 2.0,Judah & the Lion,2w7O4XCRoIJrwF1NqKL9TM,0
Chasing Cars,Snow Patrol,11bD1JtSjlIgKgZG2134DZ,2
Not Over You,Gavin DeGraw,6j7hih15xG2cdYwIJnQXsq,64
How to Save a Life,The Fray,5fVZC9GiM4e8vu99W0Xf6J,81
Hey There Delilah,Plain White T's,4RCWB3V8V0dignt99LZ8vH,79
She Will Be Loved,Maroon 5,5s5t0OFg9lIlBFaCI14K1i,0
Keep Your Head Up,Andy Grammer,7MapZTlRqFfUteNcghsTwf,0
Safe And Sound,Capital Cities,2Oj5BXOY01EDuJhVYNlEoq,0
Manic Monday,The Bangles,5KYoPa5akZxiCn38xelbqI,51
Apologize,OneRepublic,1NrJYpdAi7uosDRPmSYrsG,69
Africa,TOTO,2374M0fQpWi3dLnB54qaLX,85
Say Hey (I Love You),Michael Franti & Spearhead,0nnxf8p851ZR49KFnGWVsB,0
Say Hey (I Love You),Cherine Tanya Anderson,0nnxf8p851ZR49KFnGWVsB,0
What Lovers Do (feat. SZA),Maroon 5,4nYsmWkuTaowTMy4gskmBw,0
What Lovers Do (feat. SZA),SZA,4nYsmWkuTaowTMy4gskmBw,0
Paris,The Chainsmokers,15vzANxN8G9wWfwAJLLMCg,66
Love Me Now,John Legend,6hdkw1wzhIRYPlYDUtCY5m,51
Love Me Harder,Ariana Grande,5J4ZkQpzMUFojo1CtAZYpn,79
Love Me Harder,The Weeknd,5J4ZkQpzMUFojo1CtAZYpn,79
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,2l8w0zZVn4AZNuzrht7MRT,49
As Long As You Love Me,Justin Bieber,0pwYLVXVknPSGUQb39cePC,66
As Long As You Love Me,Big Sean,0pwYLVXVknPSGUQb39cePC,66
Drag Me Down,One Direction,2K87XMYnUMqLcX3zvtAF4G,81
Friends (with BloodPop®),Justin Bieber,7iNIg7XDEaYECfWD5dJ9Va,69
Friends (with BloodPop®),BloodPop®,7iNIg7XDEaYECfWD5dJ9Va,69
Love Yourself,Justin Bieber,50kpGaPAhYJ3sGmk6vplg0,84
Sorry,Justin Bieber,09CtPGIpYB4BrO8qb1RGsF,83
Purpose,Justin Bieber,2IjyFRCRn8x1bEquOM3vxg,64
Get Used To It,Justin Bieber,4AMnUGvZUVJgDuY7rOPzUZ,52
Heartbreaker,Justin Bieber,2GCKWEsbb0Xo1oodTOKVi1,60
Somebody To Love,Justin Bieber,3rLIv187BhjyweFe89SgLn,71
Home To Mama,Justin Bieber,1qXDjWPzxa02VClFJmu6nx,0
Home To Mama,Cody Simpson,1qXDjWPzxa02VClFJmu6nx,0
2U,David Guetta,762UXiwEHYY97VL45sAUPR,53
2U,Justin Bieber,762UXiwEHYY97VL45sAUPR,53
Despacito (Featuring Daddy Yankee),Luis Fonsi,7CUYHcu0RnbOnMz4RuN07w,58
Despacito (Featuring Daddy Yankee),Daddy Yankee,7CUYHcu0RnbOnMz4RuN07w,58
Boyfriend,Justin Bieber,0171XsIM2xyeXRr6wsugEI,0
Company,Justin Bieber,61uyGDPJ06MkxJtHgPmuyO,75
Where Are Ü Now,Skrillex,0n8ob8S72lvznoVfiwz4qL,0
Where Are Ü Now,Diplo,0n8ob8S72lvznoVfiwz4qL,0
Where Are Ü Now,Justin Bieber,0n8ob8S72lvznoVfiwz4qL,0
Purpose,Justin Bieber,3jHCXrZNz8fQEEf4BpWCAj,0
The Feeling,Justin Bieber,7vldwy3gdhmPRKWSCi8H61,0
The Feeling,Halsey,7vldwy3gdhmPRKWSCi8H61,0
Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,0
Cold Water (feat. Justin Bieber & MØ),Justin Bieber,6DNtNfH8hXkqOX1sjqmI7p,0
Cold Water (feat. Justin Bieber & MØ),MØ,6DNtNfH8hXkqOX1sjqmI7p,0
No Pressure,Justin Bieber,10SDxx0CFWGqgVVBeX22TP,0
No Pressure,Big Sean,10SDxx0CFWGqgVVBeX22TP,0
Never Say Never,Justin Bieber,5GYbkDveRD2I8M5ZJ14hWn,73
Never Say Never,Jaden,5GYbkDveRD2I8M5ZJ14hWn,73
Life Is Worth Living,Justin Bieber,4yWCzA44dQyp0SoeM81bUb,57
Whatcha Say,Jason Derulo,67T6l4q3zVjC5nZZPXByU8,67
Hot N Cold,Katy Perry,1TEjSXPdAakDotj2Wji3PU,74
Fireflies,Owl City,3DamFFqW32WihKkTVlwTYQ,79
Break Your Heart,Taio Cruz,1CdqVF1ywD0ZO1zXtB9yWa,70
Break Your Heart,Ludacris,1CdqVF1ywD0ZO1zXtB9yWa,70
Beautiful Girls,Sean Kingston,1hGy2eLcmC8eKx7qr1tOqx,79
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,0qOnSQQF0yzuPWsXrQ9paz,80
Stereo Hearts (feat. Adam Levine),Adam Levine,0qOnSQQF0yzuPWsXrQ9paz,80
Mark My Words,Justin Bieber,2SnNaoNhMjC1WRMTWD8qTX,56
Payphone - Edit,Maroon 5,5cy3CNTBZbX8vZUIsu4p7K,45
Payphone - Edit,Wiz Khalifa,5cy3CNTBZbX8vZUIsu4p7K,45
Teenage Dream,Katy Perry,5jzKL4BDMClWqRguW5qZvh,74
The Climb,Miley Cyrus,0V8FYVlBFuXXTIvRnMbZyS,68
Like A G6,Far East Movement,5AyL2kgLtTWEu3qO3B9SqK,74
Like A G6,The Cataracs,5AyL2kgLtTWEu3qO3B9SqK,74
Like A G6,DEV,5AyL2kgLtTWEu3qO3B9SqK,74
In My Head,Jason Derulo,5BoIP8Eha5hwmRVURkC2Us,62
Tainted Love,Soft Cell,44hOGg1uFg1XJZGZYNwYmM,0
Problem,Ariana Grande,3cySlItpiPiIAzU3NyHCJf,0
Problem,Iggy Azalea,3cySlItpiPiIAzU3NyHCJf,0
